"(Simple)
Unarmed Attacks",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Gauntlet,2 gp,1d2,1d3,x2,—,1 lb.,B,—,PZO1110
Unarmed strike,—,1d2,1d3,x2,—,—,B,nonlethal,PZO1110
"(Simple)
Light Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Battle aspergillum,5 gp,1d4,1d6,x2,—,4 lb.,B,see text,PZO1115
Brass knife,2 gp,1d3,1d4,19-20/x2,10 ft.,1 lb.,P or S,fragile,PPC:Pirates
Brass knuckles,1 gp,1d2,1d3,x2,—,1 lb.,B,monk,PPZO9410/PZO1115
Cestus,5 gp,1d3,1d4,19-20/x2,—,1 lb.,B or P,monk,PZO1115
Dagger,2 gp,1d3,1d4,19-20/x2,10 ft.,1 lb.,P or S,—,PZO1110
"Dagger, punching",2 gp,1d3,1d4,x3,—,1 lb.,P,—,PZO1110
"Gauntlet, spiked",5 gp,1d3,1d4,x2,—,1 lb.,P,attached,PZO1110
Handwraps,1 sp,—,—,—,—,—,—,See text,PPC:MAH
Traveling kettle,5 gp,1d4,1d6,×2,—,2 lbs.,B,"monk, see text",PPC:MAH
Hook hand,10 gp,1d3,1d4,x2,—,1 lb.,S,"disarm, attached, see text",PPC:Pirates
Kunai,2 gp,1d3,1d4,x2,10 ft.,2 lbs.,B or P,tool,PPC:RTT
"Mace, light",5 gp,1d4,1d6,x2,—,4 lbs.,B,—,PZO1110
Sickle,6 gp,1d4,1d6,x2,—,2 lbs.,S,trip,PZO1110
Spring blade,70 gp,1d3,1d4,x2,10 ft.,1 lb.,P or S,see text,PZO1134
Wooden stake,—,1d3,1d4,x2,10 ft.,1 lb.,P,—,PZO1115
"(Simple)
One-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Club,—,1d4,1d6,x2,10 ft.,3 lbs.,B,—,PZO1110
"Club, mere",2 gp,1d3,1d4,x2,—,2 lbs.,B or P,fragile,PPZO9410
"Mace, heavy",12 gp,1d6,1d8,x2,—,8 lbs.,B,—,PZO1110
Morningstar,8 gp,1d6,1d8,x2,—,6 lbs.,B and P,—,PZO1110
Shortspear,1 gp,1d4,1d6,x2,20 ft.,3 lbs.,P,—,PZO1110
"(Simple)
Two-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Bayonet,5 gp,1d4,1d6,x2,—,1 lb.,P,—,PZO1115
Boarding pike,8 gp,1d6,1d8,x3,—,9 lbs.,P,"brace, reach",PPC:Pirates
Kumade,5 gp,1d4,1d6,x3,—,4 lbs.,P,grapple,PZO9468
