"(Simple)
Light Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Hanbo,1 gp,1d4,1d6,x2,—,2 lbs.,B,"monk, trip",AA
"(Martial)
Light Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Butterfly sword,20 gp,1d3,1d4,19–20/×2,—,1 lb.,S,monk,PZO1118
Iron brush,2 gp,1d2,1d3,×2,10 ft.,—,P,—,PZO1118
Jutte,8 gp,1d4,1d6,×2,—,1 lb.,B,"disarm, monk",PZO1118
Kerambit,2 gp,1d2,1d3,×3,—,—,S,—,PZO1118
Kukri,8 gp,1d3,1d4,18–20/x2,—,2 lbs.,S,—,PZO1110
Lungchuan tamo,5 gp,1d3,1d4,×2,10 ft.,1 lb.,P or S,monk,PZO1118
Shang gou,6 gp,1d3,1d4,×2,—,1 lb.,S,"disarm or trip (see text), monk",PZO1118
Tonfa,1 gp,1d4,1d6,×2,—,1 lb.,B,"blocking, monk",PZO1118
Wushu dart (5),1 gp,1d2,1d3,×2,10 ft.,—,P,monk,PZO1118
"(Martial)
One-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Broadsword, nine ring",15 gp,1d6,1d8,×3,—,4 lbs.,S,monk,PZO1118
Double chicken saber,12 gp,1d4,1d6,19–20/×2,—,3 lbs.,S,"disarm, monk",PZO1118
Sibat,2 gp,1d4,1d6,×3,10 ft.,2 lbs.,P or S,see text,PZO1118
"(Martial)
Two-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Hooked lance,3 gp,1d6,1d8,×4,—,10 lbs.,P,"reach, trip",PZO1118
Monk’s spade,20 gp,1d4/1d4,1d6/1d6,×2,—,12 lbs.,B or P or S,"double, monk",PZO1118
Naginata,35 gp,1d6,1d8,×4,—,9 lbs.,S,reach,PZO1118
Nodachi,60 gp,1d8,1d10,18–20/×2,—,8 lbs.,S or P,brace,PZO1118
Sansetsukon,8 gp,1d8,1d10,19–20/×2,—,3 lbs.,B,"blocking, disarm, monk",PZO1118
"Sword, tri-point double-edged",12 gp,1d8,1d10,×3,—,14 lbs.,P,reach,PZO1118
Tiger fork,5 gp,1d6,1d8,×2,—,8 lbs.,P,"brace, monk",PZO1118
"(Martial)
Ranged Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Tube arrow shooter,3 gp,1d3,1d4,×2,40 ft.,1/2 lb.,P,—,PZO1118
"Arrow, Bamboo shaft (10)",1 gp,—,—,—,—,1/2 lb.,—,—,PZO1118
"Arrow, iron-tipped distance (20)",1 gp,—,—,—,—,4 lbs.,—,—,PZO1118
"Arrow(s), whistling (20)",2 gp,—,—,—,—,3 lbs.,—,—,PZO1118
Poisoned sand tube,1 gp,special,special,—,—,1 lb.,—,—,PZO1118
"(Exotic)
Light Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Bich’hwa,5 gp,1d3,1d4,19-20/x2,—,2 lbs.,P or S,monk,?
Dan bong,1 sp,1d2,1d3,19–20/×2,10 ft.,—,B,"blocking, monk",PZO1118
Emei piercer,3 gp,1d2,1d3,19–20/×2,—,—,P,"monk, see text",PZO1118
Fighting fan,5 gp,1d3,1d4,×3,—,—,S or P,"distracting, monk",PZO1118
Kama,2 gp,1d4,1d6,x2,—,2 lbs.,S,"monk, trip",PZO1110
Madu (leather),40 gp,1d3,1d4,x2,—,5 lbs.,P,performance,PZO1118
Madu (steel),40 gp,1d3,1d4,x2,—,6 lbs.,P,performance,PZO1118
Nunchaku,2 gp,1d4,1d6,x2,—,2 lbs.,B,"disarm, monk",PZO1110
